Judul,Sinopsis,Genre
Kisah Hantu & Legenda Dari Korea,"Siapa yang tak kenal Korea Selatan, negeri yang ditaburi binary para bintang Hallyu? Di balik gemerlap artis-artisnya yang menciptakan era baru di dunia Korea Selatan ternyata menyimpan segudang misteri dan cerita-cerita horror yang berkembang di kalangan masyarakatnya. Sebagian masyarakat Korea Selatan rupanya masih percaya dengan keberadaan makhluk tak kasatmata, seperti hantu, monster, dewa, siluman, legenda, dan mitos. Kepercayaan masyarakat Korea akan hal itu memunculkan segudang cerita horror yang cukup popular, antara lain Misteri Kosmetik Wijen, Patung Yoo Kwan Sun, Jayuro, Asrama Wanita Berhantu, Apartemen Bongcheon Dong, Hantu di Stasiun Oksu, Arwah keluarga yang sudah meninggal dan lain-lain.",Horor
The Secret: Suster Ngesot Urban Legend,"Rahasia itu ada ...Setiap manusia, baik yang masih bernapas maupun yang telah terhenti napasnya, memiliki rahasia. Masa lalu, cinta, kepahitan, pengkhianatan, kesetiaan, pengorbanan, kerinduan, dikemas dalam selembar kain berlabel RAHASIA. ""To ... loong ... ja ...ngan ...!"" Rintihan ketakutan perempuan itu sama sekali tidak digubris. Ia terus diseret dengan keji. Baju yang dipakainya kotor berlumuran darah dan tanah basah. Ia bersimbah darahnya sendiri. Wajahnya penuh luka, rambutnya tak karuan. Rasa takut terhadap sosok penyeretnya mengalahkan rasa sakit yang dirasakannya. Ia sudah nyaris tak sadarkan diri. Ia berharap masih punya setetes energi sisa untuk menyelamatkan diri. Membayangkan apa yang mungkin akan menimpanya membuatnya kaku tak berkutik. Hal yang paling ditakutinya adalah ia mati sendiri di tempat ini tanpa ada yang tahu.",Horor
Futatsu No Nagareboshi : Kisah 2 Bintang Jatuh,"Pernah kuceritakan pada kalian sebuah kisah tentang sosok bermata iblis. Sosok yang selalu menaburkan ketakutan, kengerian, bahkan kematian, bagi siapa pun yang melihatnya... Sosok yang cara matinya sungguh yang tidak biasa... Sosok yang kesetiaannya tidak pernah bisa terukur... Dan ini adalah kisah, setelah kematian dirinya... Kisah tentang Sano Ryu yang seakan ditunjukkan jalan untuk bertemu seorang gadis yang juga memiliki mata iblis. Seorang gadis yang tanpa henti berlari menyelamatkan dirinya. Seorang gadis yang kelak diketahuinya sebagai satu-satunya putri dari lelaki bermata iblis... Juga kisah tentang Yokushimaru Toshi, pewaris Samurai Cahaya, yang berusaha bangkit dari kematiannya, dan mencoba datang kembali pada tanahnya di Natsue, untuk merebut kembali sesuatu yang seharusnya menjadi miliknya... Kisah yang memang harus kembali kuceritakan pada kalian...",Horor
Ritual Manggil Hantu,"Saat mantra terucap, pintu menuju alam astral pun terbuka. Mereka datang menampakkan wujudnya yang membuat perut kita mulas dan perasaan menjadi terancam. Jangan heran kalau mereka sangat ingin menyeret ikut. Tembang lingsir wengi bisa mendatangkan kuntilanak, lagu Nina Bobo dengan nada begitu lambat akan membangunkan hantu anak kesepian, dan permainan jelangkung membuat arwah gentayangan tak mau pulang sebelum membawa kawan. Permainan yang bisa dilakukan siapa saja, usia berapa saja, suku apa saja. Tapi jangan pernah lakukan saat kamu sedang haid besar! Kamu akan berubah dan tidak akan sama lagi bahkan kamu bisa mati. Tertantang untuk mengundang mereka?",Horor
Silent Traveller,"Bus umum yang aku tumpangi pecah ban di kawasan PLTG (Pembangkit Listrik Tenaga Gas) Unit 9, Jawa Timur. Dari 27 penumpang, hanya lima penumpang pindah ke bus Silent Traveller, termasuk aku. Kami tak sadar kalau para penumpang lain di bus tersebut adalah korban kecelakaan maut di kawasan PLTG Unit 9. Parahnya lagi, bus itu ternyata bus hantu yang terjebak di dunia lain akibat kecelakaan yang menimpanya. Kami berlima pun ikut terjebak di dunia lain. Aku bersama seorang tentara dan istrinya, seorang gadis dari akademi perawat, serta pemuda jalanan dibuat ketakutan setengah mati ketika berusaha memecahkan misteri tersebut.",Horor
The Ghost Next Door,"Dari balik belokan koridor lantai 5, Chiya melihat sosok perempuan berambut pendek, mengenakan tunik putih dan celana panjang hitam yang berlumuran darah. Tangannya menggenggam sebilah cutter dengan cairan merah masih menetes. Sosok itu kemudian menembus apartemen 501 yang jaraknya berdekatan dari unitnya. Syok, Chiya berusaha membuka pintu unitnya terburu-buru. Namun, sosok perempuan itu sudah hadir tepat di sebelahnya dengan mulut terbuka dan wajah penuh amarah. Chiya sebenarnya tidak pernah ingin menggunakan kemampuannya melihat makhluk tak kasatmata. Namun, hantu di sebelah apartemennya selalu muncul seakan meminta pertolongan. Dalam usaha mengungkap siapa pembunuh perempuan itu, Chiya justru semakin dekat dengan bahaya yang bisa menghilangkan nyawanya.",Horor
Misteri Terakhir#2,"Tiga tahun yang lalu, Adwin Saran masuk dalam hidup Viliandra, dan semua mimpi indahnya tentang rumah tangga yang romantis hancur berantakan. Lebih celaka lagi ayahnya lebih memihak suaminya ketimbang dirinya. Lalu Adwin Saran mati terbunuh di kamar 408 Hotel Mirah Delima dengan bekas lipstik di pipi. Siapa yang membunuhnya? Apakah sang istri, orang terakhir yang diketahui masuk ke kamar 408? Suami perempuan yang dikencaninya? Sahabatnya yang menikah dengan bekas pacarnya?Bos kelab malam Velvet yang dipermalukannya? Atau rekan-rekan kerja yang tidak menyukainya? Dan di manakah perempuan yang dikencaninya ketika pembunuhan itu terjadi? Kasus ini belum terungkap, tiba-tiba Citra Suhendar ditemukan terkapar dengan luka tusuk di punggungnya. Apakah ada hubungannya antara kedua peristiwa itu? Ini adalah catatan terakhir prestasi pasangan dwi-penegak hukum yang telah mendedikasikan hidup mereka bagi keadilan dan kebenaran.",Horor
DIMENSI KETIGA,"Novel ini bercerita kumpulan kisah seorang anak laki-laki bernama Yus, yang ternyata memiliki kemampuan Indigo interdimensional, yang artinya Yus mampu melihat, mendengar bahkan berkomunikasi dengan makhluk halus. Kemampuan itu didapatkan nya karena pada waktu bayi Yus pernah mengalami mati suri. Pada awalnya Yus merasa sangat terganggu dan frustasi karena kemampuan indra keenamnya tersebut. Apalagi ayah dan ibunya selalu menuduh Yus hanya berhalusinasi. Bahkan Yus pernah berusaha mencoba menghilangkan kemampuan Indigo interdimensionalnya dengan tirakat khusus, namun usaha yang dilakukannya itu ternyata gagal. Walaupun begitu, karena dukungan eyang kakungnya dan bimbingan gurunya yang bernama Pak Sam, perlahan-perlahan Yus akhirnya bisa mengendalikan kemampuan Indigonya dan bahkan bisa menggunakannya untuk menolong tidak saja orang lain namun juga menolong makhluk gaib yang membutuhkan bantuan.",Horor
Rumah di Perkebunan Karet,"Rumah kami berjarak beberapa puluh meter lagi, tapi telunjuk Wahyu yang bergetar menunjuk ke sana. Dengan bantuan cahaya lampu motor yang tidak terlalu terang, aku melihat rombongan pembawa keranda berhenti tepat di halaman rumah kami. Mereka berdiri menghadap pintu depan. Matikan lampu, aku berbisik. Ketika lampu motor sudah mati, semua menjadi gelap. Aku melihatnya. Sosok-sosok itu masih berdiri di depan rumah. Ternyata terdapat lubang. Liang kubur. Aku takut setengah mati. Entah sejak kapan liang kubur itu ada di sana dan siapa pula yang menggalinya? Semua hal itu terjadi di rumah, di perkebunan karet.",Horor
Kisah Tanah Jawa Jagat Lelembut,"Jagat lelembut atau dunia para makhluk halus, sampai saat ini masih mendapatkan image mengerikan di mata banyak orang. Sosok-sosok di dalamnya selalu digambarkan seram seperti halnya yang sering kita lihat di layar televisi. Belum lagi bumbu-bumbu yang sengaja dibuat dengan tujuan menakut-nakuti. Namun demikian, kita justru makin penasaran dengan keberadaan dunia ""mereka"". Seperti apa sosok dan cerita para lelembut yang sebenarnya? Buku ini merangkum perjalanan Tim Kisah Tanah Jawa yang telah menjelajah ""Jagat Lelembut"" hingga lapisan ke-11 (yang mungkin terdiri dari 17 lapisan). Tidak hanya lewat kata-kata, Kisah Tanah Jawa: Jagat Lelembut berusaha menyertakan gambar dari penampakan ""mereka"". Banyak jenis lelembut dan kisah yang mungkin belum pernah kita dengar, siapkan keberanian untuk membaca kisah ""mereka""!",Horor
Horor Kamar 022,"Ini adalah kisah tentang kamar O22 di sebuah apartemen mewah di Jakarta. Banyak peristiwa di luar logika terjadi di sini dan membuat oranq-orang angkat kaki karena mengalami hal-hal yang menyeramkan. Sekilas kamar O22 ini tampak biasa dan tidak berbeda dengan kamar-kamar lainnya. Namun ternyata jauh sebelumya, di kamar ini menyimpan sebuah rahasia besar. Konon di kamar O22 ini tinggal sepasang kekasih yang tiba-tiba menghilang tanpa jejak, dan sejak saat itu kejadian demi kejadian aneh dan menegangkan pun dimulai dan dialami oleh penghuni-penghuni di sekitarnya.",Horor
Cermis : Karena Mereka Ada Di Sekitar Kita,"""Bunda, Ayah mimpi ada kuntilanak masuk ke kamar kita. Dia langsung dudukin Ayah. Ayah pikir cuma mimpi, tapi Ayah bisa lihat Bunda lagi asyik melipat baju-baju."" Suara suami terdengar gugup saat menceritakan mimpi buruknya barusan. Aku hanya bengong saja nggak tahu mau ngomong apa. Mendadak dari ruang tengah terdengar ada yang pencet-pencet piano mainan anakku. Sedetik kemudian, boneka jerapah besar bunyi ngik-ngik-ngik. Itu tandanya boneka tersebut ada yang menaikinya. Bunyi tersebut berulang hingga tiga kali, sambil sesekali kedengaran suara perempuan cekikikan. Lalu, suamiku naik ke kursi dan mengintip ruang tengah lewat lubang ventilasi di atas pintu. Kontan saja dia langsung komat-kamit baca ta'awudz, terus turun dari kursi, kemudian membuka pintu kamar, dan... jreeennnggg ... Aku nggak berani buka mata. Namun, aku sempat melihat ada putih-putih kumal duduk di atas boneka jerapah. Dia menoleh ke arah kami dan menyeringai. Suamiku memberanikan diri membentak dia, ""Ukhruj ya aduwallah! Ukhruj ya aduwallah! Ukhruj ya aduwallah!"" Artinya: pergi kau musuh ALLAH. Pernah kah kamu serasa diikuti orang saat malam hari melewati jalanan yang sepi? Namun, ketika kamu menengok ke belakang, tak ada siapa pun di sekitarmu? Meski kamu nggak melihatnya, tapi ""mereka"" memang ada di sekitar kita. Iya, makhluk halus itu menempati sudut-sudut tempat yang sepi, rumah kosong, atau bahkan ada di dalam kamarmu.",Horor
Dan Datanglah Malam,"Malam tak hanya mengantarkan kantuk yang akan membawa kita pada mimpi-mimpi yang membuai. Malam sering kali mengantarkan mereka yang hidup di kegelapan, dalam bayang-bayang yang selama ini kita abaikan, sosok-sosok yang menghuni mimpi buruk kita. Dalam buku kelimanya ini, Dewi Ria Utari berkolaborasi dengan Yulian Ardhi, menciptakan serpihan kata-kata dan narasi pendek yang bertautan dengan imaji-imaji surealis yang diciptakan Yulian Ardhi.Buku ini memberikan pengalaman horor dan misteri baru yang tak linear, yang kerap kali hanya berupa cabikan-cabikan kegelisahan yang mengingatkan pembacanya pada ketidaknyamanan yang pernah dikenal di suatu masa nan entah.",Horor
Hantu di Rumah Mertua,"Farah, seorang wanita sederhana. Merasa hidupnya berubah menjadi sangat membahagiakan, sejak bertemu Nando. Pria menawan yang berhasil menyelamatkan dirinya, dari segala kepenatan dan kebosanan di tempat kerja. Nando menikahi Farah, dan membawanya tinggal di sebuah rumah besar milik ibunya. Di rumah mertua, Farah seharusnya bisa menikmati hidupnya. Sebab ia sudah mendapatkan pujaan hati. Tapi, rumah megah dan terkesan angkuh itu menyimpan misteri dan kisah kelam. Farah juga dihadapkan dengan berbagai hal aneh, yang membuatnya bertanya-tanya. Semua itu memaksa Farah mencari tahu dengan caranya sendiri, agar ia mendapatkan jawaban tentang siapa Nando dan ibunya?",Horor
Hantu di Rumah Kos,"Dari Pekanbaru ke kota Bandung, hanya satu tujuan Renata. Kuliah di sebuah Universitas untuk menuntut ilmu dan menggapai cita. Kakak satu-satunya, Radit, memilih sebuah rumah kos yang letaknya terjangkau dari kampusnya. Bangunan kos terlihat baik-baik saja. Tidak ada kesan menakutkan. Tetapi ternyta itu salah. Renata merasakan keanehan yang tidak disangka. Suasana begitu menakutkan terlebih ketika malam menurunkan gelapnya. Ada sesuatu di sana. Ia terlalu sulit menghindar. Ternyata, kos itu bukan kos seperti pada umumnya",Horor
Parade Para Monster,"Semenjak kekuatan misterius dalam dirinya bangkit, Weena sangat terobsesi pada Festival Halloween yang diadakan di Greenwich Village di Manhattan. Itu karena Weena memiliki kekuatan misterius yang membuatnya dijuluki monster. Dan tidak ada tempat yang lebih cocok bagi Weena selain Festival Halloween--paradenya para monster! Bersama dengan sahabatnya, Jack, Weena mendaftar sebagai volunteer di Festival itu, tapi pendaftaran mereka ditolak. Akan tetapi, muncul undangan misterius bagi Weena dan Jack untuk datang ke Festival Halloween ""yang lain"". Sebuah undangan yang membuka pintu ke dunia para monster... dan mungkin akan membahayakan nyawa mereka berdua",Horor
Koloni Journal Of Terror 01,"Semua yang terjadi dalam catatanku ini adalah nyata. Mereka ada meski tak kasat mata. Prana adalah anak biasa yang tumbuh normal layaknya anak-anak lain. Namun saat berusia 5 tahun, Prana jatuh sakit dan mengalami demam tinggi selama berhari-hari. Pada hari ke-8 penyakitnya, dia menyadari ada yang salah dengan dirinya... terutama indera penglihatannya... PRANA DAPAT MELIHAT HANTU. Inilah catatan harian Prana... Kisah-kisah berhantu miliknya yang dirangkum dalam sebuah jurnal berjudul...""JOURNAL OF TERROR"""".""",Horor
Psychic Detective Yakumo,"Haruka meneteskan air matanya mendengarkan masa lalu Yakumo yang mengejutkan, yang diceritakan oleh Isshin Akemi Takagishi, seorang guru SMP, mengkhawatirkan seorang anak laki-laki yang berdiri di dalam ruang kelas dengan mata kesepian dan tidak mengizinkan orang lain untuk mendekatinya. Nama anak itu adalah Yakumo Saitou. Ada rumor yang mengatakan bahwa dia dapat melihat hantu. Dia dikucilkan oleh teman-teman sekelasnya dan Akemi berusaha untuk memahaminya, akan tetapi sebuah kasus dan tragedi yang mengerikan sedang membayangi mereka. Saat hal itu terjadi, apa yang akan dilakukan Yakumo? Masa kecil Yakumo yang mengejutkan dan dipenuhi misteri akhirnya terungkap!",Horor
Merinding #2,"Malam itu, Sonny tidak bisa tidur. Ia lantas membuka sedikit gorden jendelanya, siapa tahu kantok mendatanginya. Namun, matanya justru menangkap seseorang tengah berdiri di teras rumah tetangganya yang baru saja meninggal. Sosok itu mendekat, mendekat, mendekat, dan kian ketakutanlah Sonny. Itu Pak Johan, tetangganya yang baru saja meninggal! Sonny buru-buru menggedor pintu kamar orangtuanya. Ketika orangtuanya membukakan pintu, terdengarlah suara pintu depan rumah diketuk. Ayahnya segera membukakan pintu depan rumah, dan.. ""Aaaaaaa...!!!"" Sonny dan ibunya menjerit ketakutan di dalam kamar. Jejak-jejak putih tanpa wujud tampak mengarah ke Soony. Kisah ""Jejak dari Alam Kubur"" dan cerita-cerita lainnya dalam buku ini mungkin akan membuat bulu kuduk merinding, tetapi juga membuat kita menyadari kebesaran ilahi.",Horor
Tapak Setan,"Pada satu pagi, Atarjoe terbangun dengan tangan bersimbah darah. Pagi keesokannya, tangan berlumuran darah tersebut beraroma seribu bangkai, dan pagi berikutnya dia mulai mengetahui apa yang terjadi dengan dirinya. Sesosok makhluk meminjam tangannya saat dia terlelap setiap malam, tanpa sadar mengerjakan hal-hal di luar nalar manusia. Tetapi bukan Atarjoe namanya kalau hanya membiarkan tangannya diperlakukan dengan tidak manusiawi tanpa melakukan perlawanan sedikit pun. Akankah Atarjoe berhasil menyelamatkan tangannya sendiri dari ulah iseng makhluk tak kasatmata, sementara takdir yang digariskan melalui tangannya akan membawanya pada pertulangan yang tak disangka-sangka?",Horor
Goosebumps: Hantu Penunggu Sekolah,"IA MENDENGAR SUARA-SUARA DARI DUNIA GAIB! Malang benar nasib Tommy. Ayahnya baru saja menikah lagi. kini ia punya ibu tiri, dan ia juga garus masuk ke sekolah baru. Tommy tidak benci sekolah, tapi ternyata susah sekali mendapat teman di sana. Apalagi gedung sekolah baru itu sangat besar, siapa pun bisa tersesat di dalamnya. Dan itulah yang dialaminya. Tommy tersesat di ruang-ruang kelas yang kosong. Dan di sana ia mendengar suara. Suara anak-anak minta tolong yang datang dari balik dinding. Tragedia apa yang terjadi lima puluh tahun lalu, sehingga ruang-ruang kelas itu tidak dipakai lagi? Bisakah Tommy membebaskan diri dari makhluk-makhluk yang terperangkap di balik dinding itu? GOOSEBUMPS Ya! Dijamin kalian pasti ber-goosebumps-ria alias merinding ketakutan kalau membaca seri ini. Soalnya, seri Goosebumps memang menyajikan kisah-kisah horor superseram dan mengerikan! Tidak percaya? Baca saja sendiri kalau berani!!!",Horor
Korean Scariest Horror Stories II - Kunjungan Hantu,"Apakah kamu pernah sendirian di tengah kegelapan, lalu melihat bayangan atau mendengar suara yang perlahan-lahan semakin mendekatimu? Hati-hati! Itu bisa jadi tanda-tanda adanya kehadiran hantu! Kisah-kisah horor dari Negeri Ginseng ini pastinya akan membuat bulu kudukmu berdiri. Cerita horor yang ada di buku ini ditulis berdasarkan pengalaman nyata yang dialami penulis ataupun pengalaman orang lain yang diceritakan kembali.",Horor
Confessions,"Moriguchi Yuko adalah seorang guru SMP.Saata naknya yang berusia 4 tahun ditemukan meninggal, semua orangmengira itu cuma kecelakaan nahas. Akan tetapi, Moriguchi yakin anaknya dibunuh oleh dua dari anak didiknya. Karena itu, dia ..",Horor
PETER,"Apa kau tahu kalau ada juga hantu yang menyebalkan? Ada, namanya Peter van Gils! Anak hantu keturunan bangsawan Belanda itu paling bisa membuatku gemas, kesal, marah, bahkan terkadang takut. Tidak hanya manusia, empat sahabat gaibku yang lain juga sering kewalahan menghadapi tangan jahat dan sifat ""sok benar""-nya. Namun, suatu malam kudapati dia murung dan sedih. ""Dia rindu mamanya, Risa"" Begitulah cerita yang kudengar. Saat itu aku baru sadar, Peter sebenarnya begitu rapuh. Kehidupan di dunia dan kematian yang membuatnya seperti ini. Dibawa jauh dari negerinya, lalu kehilangan ayah yang diidolakan dan ibu yang sangat dicintainya. Kini, dia mengizinkanku membagi kisah hidupnya dan mengenal dunia Peter lebih dalam",Horor
Rasuk,"Semenjak kepergian sang Ayah, Langgir Janaka Gadis remaja yang sering merasa kesepian merasa tidak ada satu hal pun dalam hidupnya berjalan dengan baik. Hari-harinya dipenuhi kutukan bagi nasib buruk. Kalimat ""Tuhan tidak adil"" Seolah menjadi mantra dalam batinnya. Langgir iri dan ingin kisahnya lebih seperti para sahabatnya; Sekar Tanjung, seorang anak pungut yang dilimpahi kasih sayang keluarga angkatnya. Lintang Kasih yang punya orang tua kaya dan sering bepergian ke luar negeri. Juga Fransisca Inggrid, perempuan cantik yang selalu menemukan kemudahan dalam hidupnya. Namun, bagaimana jika keinginan itu menjadi nyata? Rohnya merasuk dalam tubuh orang lain. Menjalani hidup sebagai mereka, lalu menelan suka duka yang bukan miliknya, sedangkan raganya sendiri tersembunyi entah dimana. Kini, Langgir sadar, harga yang dibayar untuk keinginan itu... Terlalu Besar. Hidup ini begitu semmrawut, hingga kerap kali aku mengutuknya! Mungkin KAU bosan mendengar hati ini menjerit dan memaki. Mereka bilang KAU mendengar semua keluh umatMU..., betul begitu? Lantas, dari sekian banyak garis hidup manusia yang KAU gambar, mengapa harus hidupku yang kau gores berliku?",Horor
Keluarga Tak Kasatmata,"Genta seorang cowok yang bekerja paruh waktu di sebuah perusahaan di Yogya. Suatu hari, perusahaannya pindah ke gedung baru. Di sanalah Genta mengalami banyak hal di luar nalar. Bukan hanya dia, melainkan semua yang bekerja di sana pernah mengalami hal yang sama. Tanpa disangka, ada seorang perempuan Indigo yang tak sengaja datang ke kantornya. Dari penjelasan perempuan itu, Genta mengetahui misteri apa yang ada di bangunan itu. Dan, pertemuan dengan tiga orang yang belum dikenalnya membuka tabir keluarga tak kasatmata yang selama ini tinggal di kantornya.",Horor
Aku Tahu Kapan Kamu Mati,"Siena, murid baru SMA Gemilang yang dianggap aneh teman sekelasnya. Bukan hanya karena wajahnya yang pucat, tapi juga karena dia tak pernah tersenyum, sedikit bicara dan jika memandang, tatapannya tajam sekali. Flo sebagai teman sebangkunya merasa tersiksa, karena dia yang biasa ceria menjadi mati kutu di samping Siena. Tak ada yang tahu sikap Siena seperti itu bukan tanpa alasan. Sejak kecil Siena bisa melihat mahluk-mahluk tak kasat mata. Dengan penampilan yang seringkali membuatnya ngeri. Menjelang remaja, kemampuannya bertambah aneh. Dia bisa membaca pikiran orang lain dan mengetahui kapan seseorang akan mati. Semua kemampuannya itu membuatnya tersiksa tak bisa hidup normal. Keadaan semakin rumit saat satu per satu orang yang berbuat buruk padanya celaka. Membuat Siena dicurigai sebagai penyebab mereka celaka.",Horor
ABSOLUTE JUSTICE,...Seharusnya monster itu sudah mati...,Horor
Misteri Terakhir#1,"Tiga tahun yang lalu, Adwin Saran masuk dalam hidup Viliandra, dan semua mimpi indahnya tentang rumah tangga yang romantis hancur berantakan. Lebih celaka lagi ayahnya lebih memihak suaminya ketimbang dirinya. Lalu Adwin Saran mati terbunuh di kamar 408 Hotel Mirah Delima dengan bekas lipstik di pipi. Siapa yang membunuhnya? Apakah sang istri, orang terakhir yang diketahui masuk ke kamar 408? Suami perempuan yang dikencaninya? Sahabatnya yang menikah dengan bekas pacarnya? Bos kelab malam Velvet yang dipermalukannya? Atau rekan-rekan kerja yang tidak menyukainya? Dan di manakah perempuan yang dikencaninya ketika pembunuhan itu terjadi? Kasus ini belum terungkap, tiba-tiba Citra Suhendar ditemukan terkapar dengan luka tusuk di punggungnya. Apakah ada hubungannya antara kedua peristiwa itu? Ini adalah catatan terakhir prestasi pasangan dwi-penegak hukum yang telah mendedikasikan hidup mereka bagi keadilan dan kebenaran. Misteri Terakhir adalah buku terbaru S. Mara Gd, penulis novel detektif krimi dan drama sejak 1984. Kisah ini merupakan penutup rangkaian misteri yang diusut Kapten Polisi Kosasih & Gozali.",Horor
Janur Ireng,"sugik membuka mata, tiba tiba ia berada di tengah keramaian sebuah pesta. Suara alunan gamelan dan keriuhan para tamu undangan memenuhi aula. Di panggung, tampak seorang perempuan cantik duduk mengenakan baju khas pernikahan Jawa. Pernikahan siapa ini? Gong ditabuh dengan keras. Rombongan mempelai pria datang, tapi Sugik tak dapat melihat wajah sang mempelai. Ketika rombongan itu menginjakkan kaki di karpet merah, suara keramaian tiba-tiba berhenti. Hening. Seseorang di samping Sugik terbatuk-batuk, lalu muntah darah. Sugik terkesiap mundur melihat semua tamu seperti kesurupan. Orang-orang berteriak, para pemain gamelan membentur benturkan kepalanya, para perempuan menjambaki rambut dan mencakar-cakar wajah. Di tengah keriuhan itu, akhirnya Sugik dapat melihat sosok mempelai pria. Ia berdiri gagah dengan pakaian khas Jawa. Hanya saja, tidak ada kepala di atas tubuh itu. Setelah Sewu Dino, Simpleman mengajak kita mundur ke masa ketika semua teror bermula. Tentang legenda tujuh keluarga yang memperebutkan puncak kehormatan dengan tak sedikit nyawa dikorbankan. Rahasia besar akan terkuak, seiring dengan munculnya pertanyaan-pertanyaan baru yang kian menyesatkan.",Horor
And Then There Were None - Lalu Semuanya Lenyap,"Sepuluh orang diundang ke sebuah rumah mewah dan modern di sebuah pulau di seberang pantai Devon. Sepuluh orang dengan rahasia kelam masing-masing, datang tanpa curiga pada sore musim panas yang indah. Tetapi tiba-tiba terjadi serentetan kejadian misterius. Pulau tersebut berubah menjadi pulau maut yang mengerikan ketika orang-orang itu tewas satu demi satu... Novel Agatha Christie yang paling mencekam dan mendengangkan! Cerita detektif tanpa detektif!",Horor
Jangan Sentuh Darahku,"Herman berniat menutup jendela kaca. Tetapi, sesuatu bergerak sangat cepat, melebihi kecepatan kelelawar ketika menyergap serangga, memasuki sela jendela kaca yang bergerak menutup. Herman amat terperanjat. Namun, hanya sesaat keterkejutan Herman. Sesuatu itu langsung menjadikan lehernya sebagai sasaran! Kesadaran Saraswati pun sepenuhnya menghilang seiring menghilangnya jeritan keras yang memecahkan keheningan malam. Tubuhnya ambruk, seperti kain selimut penutup ketelanjangan sempurnanya. Semuanya dirasanya gelap. Ia bagai memasuki lorong dingin gua pekat tanpa setitik pendar cahaya pun. Sama sekali ia tidak melihat sesuatu itu melayang dan keluar dari kamar melewati sela jendela yang masih terbuka. Tetap dengan membawa bagian tubuh Herman yang direnggutnya paksa tadi. Saraswati hanya jelas melihat sebelum pingsan, sesuatu itu potongan tangan! Vila Melati Gunung mendadak gempar. Sebuah jasad lelaki dengan kondisi mengerikan telah ditemukan. Iptu Palguna langsung terjun ke lokasi dan mengorek informasi dari beberapa orang yang kebetulan berada di sekitar lokasi kejadian. Mulai dari tamu, pemilik vila, hingga istri korban, Saraswati. Namun, ia tak menemukan informasi yang cukup untuk menentukan siapa tersangka di balik kasus kematian korban yang bernama Herman. Semua alibi yang ia catat terasa masuk akal dan dapat diterima. Sampai akhirnya, Palguna mendapatkan informasi tambahan dari Awangga Dirja, sahabat karibnya yang berprofesi sebagai wartawan. Ia baru tahu, kalau nama asli dari istri semalam korban bukanlah Saraswati, melainkan Ajeng Ratih. Mungkinkah Saraswati adalah wanita setan, seperti tudingan dukun andal bernama Darmo Gandul?",Horor
Kau Akan mati terpotong Tiga Belas,"Okta mencoba mengingat-ingat mimpinya, namun tak bisa. Pandangan matanya yang istimewa membawanya melihat sosok-sosok di atas gedung apartemen di seberang. Sosok itu melayang di atas pagar besi pengaman yang berkarat. Dan ia...ia merasa tengah diamati oleh sosok itu melalui teropong. Okta ingin memfokuskan penglihatannya, hanya saja hujan mulai turun... satu butir, dua butir, tiga butir, kemudian seratus butir dan semakin menderas tak terhitung. Padahal cuaca sedang cerah. Ini bukan hujan yang wajar! gumamnya... Dan...tiba-tiba ruangan kamar menjadi gelap... Novel ini menceritakan tentang serangkaian kasus pembunuhan dengan modus dan jejak tertinggal yang sama: mayat termutilasi menjadi 13 bagian! Detektif paling bodoh pun akan merangkum analisa yang sama: ya, ini pembunuhan berantai. Penemuan tulang-belulang di sebuah gudang tua tahun 2006 menjadi awal penyelidikan Inspektur Brata atas kasus orang hilang. Beberapa bukti dan fakta mengarah kepada sosok Anjaswara, si penyiar radio Supernova. Namun Okta tidak mempercayainya. Sebagai sahabat Anjas, Okta yang memiliki kemampuan telekiness dan kemampuan meramal masa depan, mencoba menyelamatkan. Namun, semua skenario sudah dibuat oleh sang penjagal yang mengarahkan semuanya ke satu titik. Akankah Anjas berhasil lolos dari jerat sang penjagal?",Horor
Aku Mati Memeluk Boneka,"Temani aku malam ini. Jika tidak mau, kirim pesan ini ke tujuh nomor lain Sebuah teror sms dilakukan oleh arwah penasaran gadis pembawa boneka. Satu per satu dari mahasiswa universitas terkenal di Malang mati secara tragis. Peristiwa terjadi pada acara diklat UKM di hutan Coban Talun. Kabar ini tersiar ke media massa yang segera mem-blow-up berita. Wildan, yang menjadi ketua panitia, dan beberapa orang anggota panita shock atas kejadian ini. Untuk menguak kebenaran dan latar belakang di balik peristiwa ini, Wildan, Mitha, Gustian, dan beberapa orang yang selamat menyelidikinya. Dan mereka menemukan sebuah kenyataan yang kejanggalan Berhasilkah Wildan, Mitha, Gustian, dkk. menguak kebenarannya dan selamat dari incaran gadis pembawa boneka yang membunuh dengan kejam?",Horor
Penghuni Kelas Sepuluh,"Cewek itu kembali tersenyum. Senyum yang kian membuat wajah cantiknya mengemuka. Namun, perlahan-lahan wujudnya berubah kemudian. Wajahnya yang cantik berubah menjadi pucat dan dingin. Kedua matanya memucat. menyisakan warna putih keperak-perakan. Hidung mungil mancungnya menjadi berlubang. Juga kedua pipinya. Sandra jelas melihat ada sesuatu yang menggeliat-geliat keluar dari lubang hidung dan pipinya! Ulat! Banyak jumlahnya! Satu per satu anggota band Piramida, yang merupakan murid SMA 7, tewas secara mengenaskan. Penyebabnya misterius. Tak satu pun orang yang meyakini pelakunya manusia. Semua bukti mengarah pada sesosok makhluk. Makhluk yang mengintai di kegelapan, memburu setiap orang yang membuat kehidupannya dulu di dunia menderita. Akankah nyawa seluruh anggota band Piramida melayang sia-sia? Akankah identitas makhluk itu terbongkar?",Horor
